INST,number,Subspecies,Locality,lat,long,1DPL,1MD,1PPD,1DPD,2PPL,2DPL,2PPW,2DPW,4ML,4MW,4PPW,4DPW,5ML,5PPL,5MW,5PPW,BorneanLocality
USNM,396671,T. t. paitana,Mainland Borneo,5.319944444,116.9516667,,0.86,0.92,,6.16,4.52,1.03,,,,0.94,,7.22,4.88,1.15,0.9,
USNM,449965,T. t. paitana,Mainland Borneo,6.083333333,116.7166667,3.77,0.82,0.86,1.35,5.74,4.43,0.93,,,,,,7.19,5.11,1.05,0.85,Sabah
USNM,449966,T. t. paitana,Mainland Borneo,6.083333333,116.7166667,3.45,0.85,0.87,1.55,5.6,,0.99,,,,0.96,,6.72,4.78,1.01,0.92,Sabah
USNM,449968,T. t. paitana,Mainland Borneo,6.083333333,116.7166667,3.46,0.79,0.89,1.47,5.59,,1.02,,9.3,,,,6.7,4.8,,0.9,Sabah
USNM,449969,T. t. paitana,Mainland Borneo,6.083333333,116.7166667,3.75,1.04,0.9,,6.18,,1.17,,9.93,1.08,1.13,1.49,7.06,5.03,,0.9,Sabah
USNM,488024,T. t. paitana,Mainland Borneo,6,116.6833333,3.25,0.88,0.95,1.51,6.27,5.19,1.07,,10.01,0.99,1.14,1.56,7.3,5.05,0.91,1,Sabah
USNM,488025,T. t. paitana,Mainland Borneo,6,116.6833333,3.49,1.01,0.84,1.71,5.73,,1.03,,9.5,0.97,1.03,1.42,6.93,4.8,0.95,0.92,Sabah
USNM,488026,T. t. paitana,Mainland Borneo,6,116.6833333,3.3,0.88,0.84,1.52,6.19,4.78,1.06,1.46,9.93,1.05,1,1.57,7.04,5.05,1.05,0.95,Sabah
USNM,488027,T. t. paitana,Mainland Borneo,6,116.6833333,3.77,0.9,0.94,1.3,6.2,4.54,1.14,1.43,10.35,1.01,1.08,1.39,7.27,5.09,0.9,0.91,Sabah
USNM,488028,T. t. paitana,Mainland Borneo,6,116.6833333,3.58,0.75,0.95,1.59,6.52,4.43,0.97,1.66,10.46,1.09,0.94,,7.28,5.35,1.08,0.93,Sabah
