Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,CPL,CIL,UTL,MTL,PPL,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MCH,MCW,MCIL,LTL
FMNH,68790,T. t. kretami,Mainland Borneo,5.459472222,118.1758611,,m,54.11,52.95,31.67,21.3,34.23,18.93,19.89,,,21,58.02,53.21,42.63,30.5,13.5,9.6,3.91,,29.85
USNM,101597,T. t. lingae,Offshore Islands,-0.168277778,104.6343333,type,m,50.28,48.93,28.84,,32.01,17.26,19.06,14.14,24.88,19.39,54.42,49.82,40.07,28.59,13.45,7.76,3.3,40.2,26.84
USNM,121835,T. t. masae,Offshore Islands,-0.110166667,98.42047222,type,f,54.14,52.44,30.33,20.58,33.86,17.85,,14.76,25.48,19.1,58.58,52.29,42.56,,13.81,9.18,3.09,43.34,28.96
BMNH,7.6186,T. t. masae,Offshore Islands,-0.110166667,98.42047222,,f,54.56,53.09,34.2,,34.23,18.64,20.19,15.2,26.21,20.45,59.02,52.88,42.42,30.97,14.08,7.72,3.27,43.72,29
FMNH,80087,T. t. nitida,Mainland Borneo,1.526888889,110.3131111,,f,60.29,,,22.21,38.98,19.8,21.49,15.75,28.24,21.14,63.83,58.69,46.88,34.88,13.83,10.34,4.23,,
FMNH,80093,T. t. nitida,Mainland Borneo,1.527888889,110.3411111,,f,60.72,58.25,34,,38.53,20.19,20.94,15.87,27.78,21.16,65.09,58.62,46.89,34.31,15.06,11.18,4.06,47.59,32.4
FMNH,80092,T. t. nitida,Mainland Borneo,1.526888889,110.3131111,,f,55.63,,,,35.67,18.85,,15.14,26.93,19.93,60.69,53.98,44.03,31.75,14.03,9.42,3.71,,
FMNH,80091,T. t. nitida,Mainland Borneo,1.535611111,110.3284167,,f,58.8,57.21,33.2,21.58,37.4,20,20.66,15.77,27.84,21.32,63.29,57.07,45.47,33.63,14.76,10.41,3.93,,
FMNH,80086,T. t. nitida,Mainland Borneo,1.527888889,110.3411111,,m,57.88,,,,36.34,18.32,20.63,14.71,27.43,21.49,63.25,56.47,45.67,33.29,14.05,10.03,3.58,,
FMNH,80090,T. t. nitida,Mainland Borneo,1.535611111,110.3284167,,m,59.64,,,,38.06,19.52,21.91,16.55,27.58,20.66,65.37,58.47,46.78,34.51,14.5,9.77,3.47,,
BMNH,55.692,T. t. nitida,Mainland Borneo,1.766666667,110.8166667,,m,56.45,54.65,32.23,21.31,36.09,18.62,19.83,15.2,25.79,,61.28,55.2,44.17,32.06,13.93,10.4,3.5,,29.74
BMNH,55.693,T. t. nitida,Mainland Borneo,1.766666667,110.8166667,,m,,,,21.8,,,22.01,16.64,29.46,21.88,61.53,,,,,10.85,4.01,,
BMNH,55.694,T. t. nitida,Mainland Borneo,1.766666667,110.8166667,,m,57.01,54.86,32.45,21.83,36.4,19,20.94,15.82,27.7,20.87,62.03,55.07,44.87,32.73,14.37,10.42,3.87,,
BMNH,55.691,T. t. nitida,Mainland Borneo,1.9,111.9,,m,53.99,52.47,30.95,20.42,34.38,17.76,,13.24,,19.89,58.38,52.07,,30.74,13.48,8.34,2.82,43.3,28.97
BMNH,93.411,T. t. paitana,Mainland Borneo,6.408611111,117.4052222,type,,,,33.06,21.72,35.56,,21.13,16.01,,,57.12,,44.62,32.69,,,,,30.8
FMNH,76812,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,f,56.18,54.68,31.82,20.26,35.45,19.93,20.01,15.3,27.61,20.86,60.4,54.18,44.07,31.68,14.18,9.34,3.61,45.72,30.15
FMNH,76892,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,f,54.04,52.75,31.32,19.87,34.21,18.62,19.63,14.35,26.83,20.17,58.38,53.29,42.8,30.35,13.84,9.55,3.47,43.66,29.55
FMNH,68799,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,f,55.61,54.31,31.97,21.7,35.14,18.6,20.56,15.38,27.36,20.27,60.6,53.26,43.73,31.45,14.58,9.58,3.72,44.5,29.03
FMNH,76803,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,f,57.05,55.23,32.4,21.79,36.17,,18.8,14.71,,20.42,60.81,55.51,43.32,31.41,14.04,9.85,3.64,45.01,30.37
FMNH,76807,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,f,55.89,54.32,31.9,20.83,34.8,18.05,19.32,15.04,26.1,20.93,59.5,53.8,43.22,31.14,14.05,8.96,3.45,44.17,29.85
FMNH,76808,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,f,57.82,56.37,33.16,21.9,36.73,19.86,21.06,15.78,27.9,21.53,62.23,55.68,45.38,33.07,14.35,9.87,3.72,46.67,31.52
FMNH,76809,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,f,55.38,53.9,31.26,20.96,34.65,18.32,20.89,15.39,27.29,20.28,58.74,54.03,43.22,31.36,14.65,10.04,3.72,43.85,29.36
FMNH,76813,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,f,59.29,57.3,33.43,22.87,37.88,19.92,20.12,16.05,26.94,20.08,62.97,57.47,46.13,33.93,13.77,9.84,4.19,47.58,31.68
FMNH,76810,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,f,56.86,55.54,32.02,22.03,35.45,19.09,20.61,14.65,27.98,20.66,60.72,55.54,44.36,32.36,14.55,10.09,3.61,45.39,29.76
FMNH,76811,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,f,58.69,57.05,33.59,21.87,36.69,19.37,19.95,14.78,27.75,21.31,63.29,57.25,45.37,32.94,14.88,9.28,3.6,46.96,31.27
FMNH,76801,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,m,56.95,55.7,32.43,21.27,35.97,18.16,20.98,15.79,27.7,20.14,61.73,55.56,45.4,32.46,13.79,9.28,3.65,43.86,29.81
FMNH,76802,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,m,55.7,54.36,31.6,20.39,34.84,18.78,21.13,15.71,27.56,19.95,59.89,55.21,43.37,31.24,13.78,9.51,4,44.78,29.32
FMNH,76805,T. t. paitana,Mainland Borneo,5.581222222,118.0183889,,m,57.6,56.42,33.7,22.27,36.72,18.89,21.09,14.87,28,20.73,61.75,55.47,45.35,33,14.37,10.23,3.8,46.59,31.79
FMNH,33031,T. t. paitana,Mainland Borneo,5.807388889,117.7876389,,m,56.84,55.55,32.56,22.15,35.33,19.74,19.18,15.35,26.7,21.41,60.73,55,44.37,31.59,14.33,9.9,3.82,45.17,30.54
FMNH,33032,T. t. paitana,Mainland Borneo,5.807388889,117.7876389,,m,59.21,57.63,32.85,21.05,37.04,19.09,20.59,15.02,26,20.48,63.31,57.72,46.28,34.34,14.05,9.19,3,47.81,30.62
FMNH,33033,T. t. paitana,Mainland Borneo,5.807388889,117.7876389,,m,57.14,55.75,33.33,22.91,36.33,,21.1,,,,60.48,56.63,44.95,32.67,14.04,9.76,3.94,45.22,31.18
USNM,300911,T. t. paitana,Mainland Borneo,5.966666667,116.6833333,,f,55.34,53.86,32.03,21.28,34.95,18.65,20.84,15.06,26.95,20.06,59.23,53.71,43.03,31.12,14.07,9.29,3.99,44.28,29.96
