Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,CPL,CIL,UTL,MTL,PPL,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MCH,MCW,MCIL,LTL
AMNH,102515,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,f,53.68,51.88,30.17,19.53,33.97,18.82,20.16,15.17,26.09,20.01,58.04,52.34,42.16,30.51,13.4,9.41,3.42,43.36,28.96
AMNH,102516,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,f,52.76,51.42,29.66,19.75,32.7,17.85,19.22,14.52,23.79,18.88,56.97,,40.9,29.65,13.41,8.81,2.99,42.25,28.15
AMNH,102517,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,f,,47.93,26.39,19.6,,18.06,18.78,13.59,24.22,19.48,,50.46,,,13.87,8.58,3.08,41.49,28.14
AMNH,102519,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,m,51.31,50.29,29.36,19.51,31.67,18.53,19.48,14.78,24.78,20.05,55.34,49.98,39.94,28.71,13.31,8.75,3.03,41.24,28
AMNH,102523,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,m,54.88,53.48,31.44,20.03,34.7,18.56,20.64,15.26,24.82,20.43,59.82,53.13,43.25,31.75,13.34,8.97,2.67,43.57,29.68
AMNH,102525,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,f,51.99,50.64,29.52,19.23,32.69,18.2,18.97,13.82,,20.11,56.84,50.77,40.74,29.25,13.55,9.49,2.86,,
AMNH,106103,T. t. tana,Mainland Borneo,-1.833333333,111.9,,f,53.64,51.96,29.45,18.91,33.65,18.32,20.43,14.32,25.06,,57.73,52.4,42.03,30.76,12.9,8.64,3.3,43.27,28.02
AMNH,106477,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,52.65,51.34,30.21,19.49,32.92,18.35,19.19,13.88,24.92,20.05,57.33,50.76,41.4,29.57,13.81,8.69,3.01,42.54,28.6
AMNH,106479,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,57.25,55.65,32.47,21.25,36.26,18.39,20.8,15.8,26.05,20.33,61.56,54.98,45.41,33.38,13.34,9.18,3.29,46.59,31.11
AMNH,106481,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,f,55.23,53.54,31.97,20.36,35.32,18.37,20.56,15.38,25.61,20.86,59.91,53.64,43.35,31.81,13.55,8.81,2.84,44.57,29.8
AMNH,106482,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,f,55.28,53.66,31.11,20.13,34.94,18.95,20.32,14.98,25.62,20.97,59.57,54.08,42.93,31.37,13.67,8.72,3.1,44.59,29.85
AMNH,106486,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,53.86,52.28,30.45,20.09,33.8,18.47,19.62,15.02,24.99,20.41,59.29,52.92,42.07,30.4,13.23,7.97,2.78,43.44,31.46
AMNH,106488,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,54.76,53.06,30.82,20.92,34.47,18.54,20.17,14.77,25.03,20.06,59.34,54.24,43.14,31.69,13.62,9.41,3.22,44.18,29.67
AMNH,106489,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,f,55.56,53.35,32.08,21.34,35.46,17.96,19.62,14.73,25.33,20.33,58.89,54.33,43.51,32.04,13.27,8.94,3.59,44.64,30.81
AMNH,106490,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,m,55.2,53.51,30.77,20.31,34.42,18.22,19.89,15.13,25.17,20.52,60.28,53.83,43.44,31.55,13.37,8.81,3.11,44.36,29.44
AMNH,106491,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,,f,56.23,54.96,31.85,21.23,35.11,19.06,19.77,15.3,25.25,20.65,61.67,54.8,44.06,32.82,14.27,9.12,3.01,44.8,29.38
AMNH,106476,T. t. tana,Mainland Sumatra,-5.114833333,104.9280278,,f,52.15,50.6,29.28,19.07,32.45,17.63,17.61,13.23,22.68,19.63,56.15,51,40.03,28.65,13.26,8.49,2.79,41.3,27.7
AMNH,106478,T. t. tana,Mainland Sumatra,-5.114833333,104.9280278,,f,55.53,53.69,31.19,19.75,35.12,19.3,20.21,14.78,25.69,20.95,59.93,53.33,43.87,32.14,13.74,8.51,3.23,44.32,29.71
AMNH,103891,T. t. tana,Mainland Borneo,2.783333333,116.5833333,,f,52.53,51.32,29.54,19.72,32.5,18.98,20.42,14.67,25.68,20.62,56.65,51.22,40.68,29.68,13.69,9.28,3.31,41.93,27.9
AMNH,103895,T. t. tana,Mainland Borneo,2.783333333,116.5833333,,m,53.8,52.09,,,34.02,18.28,20.05,14.42,25.85,19.99,57.53,53.79,42.56,30.83,13.86,8.81,3.27,42.43,
AMNH,102829,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,52.2,51.09,29.29,19.23,32.03,18.39,18.77,14.51,24.78,20.38,56.25,51.41,40.23,28.95,13.53,8.83,2.81,42.27,27.97
AMNH,102830,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,51.93,50.7,29.33,19.78,31.88,18.09,,,24.73,19.8,56.32,50.17,40.3,,13.54,9.08,3.06,41.84,27.78
AMNH,102831,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,53.78,52.44,30.38,20.17,33.42,17.9,20.16,14.65,24.8,19.83,58.19,52.75,42.06,30.52,13.78,9.49,3.11,43.39,28.96
AMNH,102832,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,53.18,51.62,29.86,19.78,33.05,17.92,19.24,14.35,24.49,19.65,57.81,52.3,41.25,30.14,13.48,8.67,3.02,42.46,28.61
AMNH,102833,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,52.52,51.19,29.74,19.6,32.47,18.44,19.81,14.93,24.97,20.43,56.57,50.79,41.05,29.66,13.73,9.01,3.17,42.11,28.3
AMNH,102834,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,52.96,52.47,29.77,19.86,32.83,18.2,19.33,14.92,24.94,19.88,57.22,51.2,41.39,29.95,13.18,8.33,3.11,42.16,28.25
AMNH,102835,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,52.43,50.94,29.3,19.16,32.65,17.65,19.85,14.81,25.15,20.13,56.21,51.3,40.88,29.3,13.43,8.34,3.18,41.71,27.45
AMNH,102836,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,52.74,51.51,29.76,19.49,32.39,18.3,19.97,15.1,25.41,20.11,56.76,50.83,40.97,29.83,13.33,9.17,2.9,42.1,27.96
AMNH,102838,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,53.35,51.66,29.82,19.78,33.33,17.82,19.79,15,24.39,19.27,57.47,51.02,41.48,30.16,13.63,8.94,3.08,42.47,28.16
AMNH,102839,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,52.95,51.28,29.72,18.94,33.3,17.95,19.17,14.42,24.65,19.9,56.7,51.33,41.44,29.63,12.99,8.34,3.11,42.24,27.8
AMNH,102840,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,52.85,51.33,29.43,19.24,32.31,18.31,,14.2,25.74,20.06,56.63,51,40.82,,13.9,9.14,3.26,41.21,27.2
AMNH,102841,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,51.51,49.89,28.92,19.12,31.72,17.42,19.27,14.27,24.57,19.12,56.07,50.05,40.31,29.18,13.04,8.42,3.14,,
AMNH,102842,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,m,52.25,50.92,29.61,19.28,32.26,17.94,18.81,14.45,24.3,19.97,56.55,50.68,41.22,28.93,13.14,9.22,2.94,41.95,27.87
AMNH,102843,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,,f,53.24,51.61,30.28,19.78,32.81,18.06,19.85,14.43,24.27,19.51,57.3,50.96,41.6,30.48,14.18,9.05,3.04,42.48,28.63
AMNH,102164,T. t. tana,Mainland Sumatra,-3.3,102.8666667,,f,,,30.81,20.05,34.62,,,,,,,,,,,,,,
AMNH,102853,T. t. tana,Mainland Sumatra,-5.668444444,105.5828333,,f,53.21,51.8,29.95,19.81,32.98,18.43,19.4,15.36,24.93,20.24,57.52,51.85,41.42,29.62,13.49,9.24,3.27,42.55,28.33
AMNH,102854,T. t. tana,Mainland Sumatra,-5.668444444,105.5828333,,m,50.94,49.77,28.78,19.16,31.26,17.64,19.13,14.41,23.87,19.47,54.7,49.42,39.54,28.44,13.22,8.21,2.82,40.96,27.83
BMNH,19.11513,T. t. tana,Mainland Sumatra,-2.166666667,101.4333333,,m,55.64,53.6,31.77,20.59,35.66,18.48,19.96,14.31,25.46,20.56,61.52,54.4,44.65,32.89,14.23,8.68,3.2,44.68,30.44
BMNH,19.11514,T. t. tana,Mainland Sumatra,-2.166666667,101.4333333,,m,54.54,52.58,30.26,19.75,34.5,18.26,20.4,15.07,26.18,20.25,59.16,53.29,43.64,31.77,13.89,8.82,3.45,43.9,29.06
BMNH,19.11515,T. t. tana,Mainland Sumatra,-2.166666667,101.4333333,,m,52.87,51.25,30.26,19.84,33.72,17.88,18.96,15.04,24.05,20.64,57.86,51.94,42.52,30.74,13.72,8.81,3.01,42.33,28.44
BMNH,19.11516,T. t. tana,Mainland Sumatra,-2.45,101.7166667,,f,,,31.36,20.7,35.24,,,,,,,,,31.97,,8.76,3.17,44.68,29.9
BMNH,79.62814,T. t. tana,Mainland Sumatra,-9.05,118.7833333,,sex unknown,,,31.7,20.75,35.39,,20.66,15.18,26.52,,,,44.86,32.75,,9.35,3.02,44.65,30.04
BMNH,81.3154,T. t. tana,Mainland Sumatra,-4.933333333,105.6833333,,m,,,29.76,19.85,,18.11,,15.17,,20.26,,,,,13.23,,,,
BMNH,79.722,T. t. tana,Mainland Sumatra,-3.751694444,102.3601944,,sex unknown,58.48,56.06,32.79,21.91,37.35,18.38,21.71,15.51,27.27,20.43,62.49,56.55,46.13,34.07,14.47,10.03,3.58,45.34,30.07
BMNH,77.341,T. t. tana,Mainland Sumatra,-3.751694444,102.3601944,,sex unknown,,,30.4,19.98,33.63,,20.14,14.45,24.93,19.51,57.73,,42,30.44,,9.53,3.3,41.9,28.74
BMNH,81.3153,T. t. tana,Mainland Sumatra,-4.933333333,105.6833333,,m,,,29.71,19.48,,17.8,19.68,14.44,24.74,19.78,,,,,,8.55,3.11,42.32,27.83
USNM,114412,T. t. tuancus,Offshore Islands,2.141611111,97.28769444,type,m,52.83,51.49,,,32.73,17.74,20.14,15.34,26.48,20.59,57.63,51.72,41.45,29.79,14.11,9.65,3.93,42.84,27.77
USNM,114413,T. t. tuancus,Offshore Islands,2.166666667,97.26666667,,f,53.16,51.25,,,33.2,18.16,19.82,15.37,25.67,20.82,58.24,,41.67,29.81,13.77,9.18,3.39,42.18,
BMNH,99.1295,T. t. utara,Mainland Borneo,3.55,114.25,type,m,,,32.41,21.48,35.73,,21.13,15.45,,,,,,32.97,13.11,8.76,3.85,45.35,30.22
FMNH,88591,T. t. utara,Mainland Borneo,1.867416667,113.0258056,,m,54.26,,,20.02,33.66,17.98,19.83,14.94,26.4,20.36,58.64,52.7,43.13,30.68,13.59,9.56,3.68,45.14,
USNM,19187,T. t. utara,Mainland Borneo,5.683333333,118.3833333,,m,56.92,,,21.19,35.34,19.21,21.44,15.86,28.23,21.05,60.3,55.07,43.95,31.68,14.2,9.77,3.24,,
USNM,19202,T. t. utara,Mainland Borneo,5.65,118.1166667,,m,,,31.58,21.32,35.26,,20.5,14.58,,,,,,31.28,,,,,
USNM,19224,T. t. utara,Mainland Borneo,5.5,117,,sex unknown,,,30.88,20.41,33.56,,,14.69,,,,,41.41,,,,,,
USNM,83938,T. t. utara,Mainland Borneo,4.6,113.9666667,,f,,,32.57,20.91,36.17,,20.92,15.43,27.51,,61.6,55.99,,33,14.54,10.11,3.94,46.51,30.87
USNM,311454,T. t. utara,Mainland Borneo,1.05,111.85,,f,,,,,37.01,,21.56,16.13,,20.66,,,44.84,33.06,,9.61,3.82,46.88,31.59
USNM,311455,T. t. utara,Mainland Borneo,2.016666667,112.9333333,,f,56.74,,,20.82,36.33,17.5,20.05,14.67,26.55,19.6,60.81,54.72,44.89,32.61,13.75,8.98,3.47,,
USNM,311456,T. t. utara,Mainland Borneo,2.016666667,112.9333333,,m,55.19,,,,35.29,17.71,21.74,15.57,27.53,21.06,59.82,53.05,43.78,31.91,14.27,9.98,3.96,,
USNM,34943,T. t. utara,Mainland Borneo,5.5,117,,sex unknown,55.86,54.04,31.95,21.65,35.54,18.42,19.96,15.37,26.33,20.44,59.99,54.63,43.72,32.13,14.22,10.19,3.64,44.64,30.19
BMNH,55.696,T. t. utara,Mainland Borneo,3.55,114.25,,f,53.73,52.06,30.35,19.47,33.74,18.01,20.27,14.54,25.92,20.28,58.25,52.88,42.11,30.11,13.68,9.02,3.5,42.65,28.78
BMNH,55.695,T. t. utara,Mainland Borneo,3.55,114.25,,m,,55.54,32.05,21.92,,18.4,20.46,15.56,26.15,20.53,,,,,13.95,9.49,3.57,45.06,30.64
MCZ,8726,T. t. utara,Mainland Borneo,,,,m,,,32.89,22.02,36.02,,,,28.08,20.69,61.89,,44.91,32.74,,9.71,3.67,46.29,31.52
BMNH,71.2589,T. t. utara,Mainland Borneo,4.683333333,117.8166667,,f,53.75,52.53,31.5,20.91,34.25,18.86,19.81,14.91,26.04,19.91,58.64,52.76,42.16,30.53,13.18,10.05,3.51,43.5,29.47
BMNH,71.259,T. t. utara,Mainland Borneo,4.683333333,117.8166667,,m,56.27,54.62,33.12,21.72,37.04,18.28,19.95,15.91,26.64,19.59,61.09,55.51,44.66,32.81,14.11,9.88,3.96,44.96,30.7
BMNH,71.2592,T. t. utara,Mainland Borneo,4.683333333,117.8166667,,m,54.16,52.68,30.44,20.68,33.67,,20.83,15.45,27.25,20.13,59.04,52.43,42.52,30.49,14.39,10.14,3.78,43.5,
BMNH,71.2594,T. t. utara,Mainland Borneo,4.7,118.0333333,,f,54.14,,,21.21,34.45,18.3,19.14,14.21,25.92,20.44,58.29,52.08,42.45,30.6,13.45,9.28,3.58,43.79,29.86
BMNH,71.2598,T. t. utara,Mainland Borneo,4.7,118.0333333,,m,57.34,55.75,32.92,21.01,36.83,18.9,20.69,15.38,27.91,20.78,61.29,55.08,44.63,32.55,13.8,10.79,4.16,45.94,30.68
BMNH,71.2599,T. t. utara,Mainland Borneo,4.7,118.0333333,,m,53.97,52.64,30.66,20.9,33.45,17.59,20,15.02,27.52,19.85,58.67,53.06,41.93,29.81,13.54,9.55,3.96,42.42,28.4
BMNH,71.26,T. t. utara,Mainland Borneo,4.7,118.0333333,,f,54.18,52.77,32.1,22.01,35.27,18.15,19.27,14.15,26.53,20.04,58.86,51.66,42.43,30.73,13.95,9.66,3.64,44.06,30.71
BMNH,71.2601,T. t. utara,Mainland Borneo,4.7,118.0333333,,f,55.64,53.83,32.53,21.53,35.42,19.02,19.7,15.29,26.59,20.81,58.86,53.25,43.16,31.56,13.69,10.09,3.79,44.34,30.45
BMNH,71.2602,T. t. utara,Mainland Borneo,1.527888889,110.3411111,,f,57.17,55.24,32.18,21.18,35.61,18.38,19.56,15.08,27.04,20.53,61.48,56.7,44.11,31.83,13.99,9.3,3.86,45.8,30.33
BMNH,71.2604,T. t. utara,Mainland Borneo,5.583333333,116.25,,f,56.07,,,,36.33,18.28,18.98,13.84,26.26,20.32,59.68,54.77,44.18,32.1,13.26,,,,
BMNH,71.2605,T. t. utara,Mainland Borneo,4.7,118.0333333,,f,56.78,55.42,32.19,20.83,35.21,18.87,21.25,15.87,28.84,20.62,61.48,55.21,44.78,33.11,14.6,10.69,4.13,46.52,
BMNH,71.2606,T. t. utara,Mainland Borneo,4.7,118.0333333,,f,55.69,53.75,30.46,20.29,35.19,18.51,19.85,15.46,26.31,21.44,60.1,53.68,43.38,31.72,13.66,9.86,3.38,,
BMNH,10.4574,T. t. utara,Mainland Borneo,-3.65,115.4,,m,51.8,50.67,,,32.2,17.34,19.22,14.5,24.75,19.39,55.75,50.54,40.36,29.3,13.23,9.13,3.55,41.34,27.86
BMNH,90.6252,T. t. utara,Mainland Borneo,1.2,110.3666667,,sex unknown,,,34.21,22.51,37.97,,20.73,15.67,27.85,20.89,,,47.07,35.07,,10.21,3.62,47.95,32.22
BMNH,92.274,T. t. utara,Mainland Borneo,3.55,114.25,,m,,,31.45,20.26,34.75,,19.72,15.05,26.94,21.01,59.39,,43.28,31.6,,8.69,3.53,43.87,29.54
BMNH,94.621,T. t. utara,Mainland Borneo,4.046666667,114.9297222,,m,60.18,58.51,34.79,22.14,38.09,19.57,21.89,16.48,28.85,21.33,65.68,58.45,48.14,35.72,14.86,10.26,4.23,48.11,32.71
