subsp.,Locality,Quantity,Latitude,Longitude
T. t. tana,Sumatra Sumatera Selatan; Palembang  VERB LOC=S. Sumatra: Sumatera Selatan (Palembang) Macarah Doewa,7,-2.97925,104.7690556
T. t. tana,Sumatra; Boekit Sanggoel  VERB LOC=Sumatra: Boekit Sanggoel (Benkoelen),11,-3.229027778,102.55175
T. t. tana,Sumatra; Goenoeng Dempo  VERB LOC=Sumatra: Goenoeng Dempo,2,-5.114833333,104.9280278
T. t. tana,Sumatra; Lampung,14,-4.942444444,104.9441111
T. t. tana,Sumatra: Loebock Linggan,1,-3.3,102.8666667
T. t. tana,"Sungei, Kumbong, Korinchi, Sumatra, 4,500 ft",,-2.166666667,101.4333333
T. t. tuancus,"Indonesia: Sumatra: Atjeh District, Banjak Islands, Pulau Tuangku",,2.166666667,97.26666667
T. t. tuancus,"Sumatra; Atjeh District, Banjak Islands, Pulau Tuangku.  0210--N,  09716--E",1,2.166666667,97.26666667
T. t. utara,"6th mile, Rock Road, Forest Reserve, Borneo, Kuching",,1.527888889,110.3411111
T. t. utara,"Beaufort Forest Reserve, Borneo",,5.583333333,116.25
T. t. utara,"Borneo: Sabah; Kinabatangan River.  0541--N,  11823--E",1,5.683333333,118.3833333
T. t. utara,"Borneo: Sabah.  0530--N,  117----E",2,5.5,117
T. t. utara,"Borneo: Sarawak; Baram.  0436--N,  11358--E",1,4.6,113.9666667
T. t. utara,"Borneo: Sarawak; Kapit, 5 Mi E Of, Nanga Balleh.  0201--N,  11256--E",2,2.016666667,112.9333333
T. t. utara,"Borneo: Sarawak; Tapuh.  0103--N,  11151--E",1,1.05,111.85
T. t. utara,"Cocoa Research Station, Quoin Hill, Tawau, North Borneo. 750 ft",7,4.7,118.0333333
T. t. utara,"Karangitan, Martapoeia River, South Borneo, 30ft",,-3.65,115.4
T. t. utara,"Malaysia, Borneo: Sabah. 0530--N, 117----E",,5.5,117
T. t. utara,"Malaysia: Borneo: Sabah; Suanalamba River. 0539 N, 11807 E",,5.65,118.1166667
T. t. utara,"Mile 12, North of Kalabakan. North Borneo, 200ft",3,4.683333333,117.8166667
T. t. utara,"Mount Dulit, North Borneo, 4000 ft",2,3.55,114.25
T. t. utara,"Mount Mulu, Baram",,4.046666667,114.9297222
T. t. utara,"Mount Penrisen, North Sarawak",,1.2,110.3666667
T. t. utara,"Mt. Dulit, North Borneo, 3000 ft",,3.55,114.25
T. t. utara,"Sarawak; Third Division, Sut, 2500f",1,1.867416667,113.0258056
T. t. utara,"Sarawak: Mount Dulit, Baram, 3,000-3,300 ft.",2,3.55,114.25
T. t. utara,"Tinjar River, Borneo",,4.016666667,114.25
T. tana,"Karanginton, South Borneo",,-3.816666667,115.6333333
T. tana,"Mt. Dulit, North Borneo, 3000 ft",,3.55,114.25
T. tana,"South Central Borneo, Boentok (20ft, Barito River)",,-1.25,115.3833333
T. t. besara,"Borneo: Kapuas River, N Bank, Below Tyan, Opposite Pulo Jambu",,-0.190444444,109.9185833
T. t. bunoae,"Sumatra; Riau Province, Tambelan Islands, Bunoa (=Pulau Benua)",,0.933333333,107.45
T. t. chrysura,"Mainland of Borneo, opposite the island of Labuan",,5.035638889,115.6014722
T. t. paitana,"Paitan River, northeastern Borneo",,6.408611111,117.4052222
T. t. kretami,"Bukit Kretam, southeast end of Dewhurst Bay, Kinabatangan District, North Borneo",,5.481638889,118.5931944
