INST,number,Subspecies,Locality,lat,long,1MD,1PPD,2PPL,2PPW,4PPW,5MW,5PPW
USNM,488043,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,1.03,0.87,5.91,1.06,1.03,1.05,0.94
USNM,488046,T. t. paitana,Mainland Borneo,6,116.6833333,0.87,0.9,5.75,1.03,1.01,1.08,0.9
USNM,488047,T. t. paitana,Mainland Borneo,6,116.6833333,0.96,0.88,6.21,1.01,0.97,0.88,0.87
USNM,488049,T. t. paitana,Mainland Borneo,6.116666667,116.8,0.87,0.82,5.69,1.03,0.99,1.1,0.9
USNM,488050,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,0.84,,5.41,1.03,1,1.18,0.98
USNM,488051,T. t. paitana,Mainland Borneo,6,116.6833333,0.89,0.84,6.19,1.02,0.92,1.07,0.88
AMNH ,106103,T. t. tana,Mainland Borneo,-1.833333333,111.9,0.86,0.84,6.61,1.05,1.01,1.01,1.04
USNM,145574,T. t. tana,Mainland Borneo,-1.05,110.1,0.92,1,6.63,1.15,1.05,1.05,1.08
USNM,151885,T. t. tana,Mainland Borneo,-3,116.2,0.89,0.84,6.06,0.99,0.99,1.01,0.95
USNM,154340,T. t. tana,Mainland Borneo,-1.25,116.7166667,0.75,0.79,6.02,0.95,0.92,1.01,0.88
USNM,154341,T. t. tana,Mainland Borneo,-2.55,116.4166667,0.88,0.96,6.1,1.01,0.96,0.88,
USNM,176403,T. t. tana,Mainland Borneo,2.183333333,117.4666667,0.9,0.86,5.49,0.95,0.91,0.85,0.86
USNM,176405,T. t. tana,Mainland Borneo,2.183333333,117.4666667,0.77,0.82,5.67,0.88,0.88,0.89,0.8
USNM,176406,T. t. tana,Mainland Borneo,2.183333333,117.4666667,0.76,0.83,5.92,1,0.92,1.1,0.96
USNM,176407,T. t. tana,Mainland Borneo,2.183333333,117.4666667,0.77,0.77,5.99,0.9,0.96,0.92,0.88
USNM,176408,T. t. tana,Mainland Borneo,2.166666667,117.5,0.83,0.83,6.09,0.93,0.88,0.9,0.83
USNM,176409,T. t. tana,Mainland Borneo,2.166666667,117.5,0.71,0.73,5.92,0.89,0.87,0.92,0.87
USNM,176410,T. t. tana,Mainland Borneo,2.166666667,117.5,0.85,0.82,6.47,1.02,1,0.93,0.91
USNM,176411,T. t. tana,Mainland Borneo,1.6,118.2,0.8,0.9,6.51,1.02,0.93,1.1,0.95
USNM,197199,T. t. tana,Mainland Borneo,0.8,117.9166667,0.87,0.85,5.91,0.93,0.97,0.98,0.87
USNM,197200,T. t. tana,Mainland Borneo,0.8,117.9166667,0.84,0.92,5.7,1.03,1.04,1.05,0.89
USNM,197201,T. t. tana,Mainland Borneo,0.816666667,117.7,0.74,0.82,5.92,0.96,0.98,0.89,0.88
USNM,198045,T. t. tana,Mainland Borneo,1.1,117.9,0.77,0.8,5.38,0.94,0.95,1.04,0.85
USNM,198046,T. t. tana,Mainland Borneo,1.1,117.9,0.88,0.78,5.55,0.93,0.91,0.81,0.85
USNM,198047,T. t. tana,Mainland Borneo,1.1,117.9,0.82,0.91,6.09,0.97,0.96,0.92,0.91
USNM,198048,T. t. tana,Mainland Borneo,1.1,117.9,0.81,0.84,5.74,0.91,0.87,0.95,0.9
USNM,198049,T. t. tana,Mainland Borneo,1.183333333,117.9166667,0.9,0.8,5.98,0.96,0.97,0.95,0.9
USNM,199158,T. t. tana,Mainland Borneo,0.5,117.15,0.82,0.74,5.65,0.96,0.94,0.94,0.86
AMNH ,103409,T. t. tana,Mainland Borneo,2.716666667,117.2166667,0.93,0.85,6.3,1.03,0.91,1.1,0.95
AMNH ,103410,T. t. tana,Mainland Borneo,2.716666667,117.2166667,0.77,0.81,5.94,0.97,0.92,0.99,0.85
AMNH ,103411,T. t. tana,Mainland Borneo,2.716666667,117.2166667,0.9,0.9,,1.02,0.97,1.13,0.89
AMNH ,103891,T. t. tana,Mainland Borneo,2.783333333,116.5833333,0.81,0.88,6,1.07,0.94,1.04,
AMNH ,103895,T. t. tana,Mainland Borneo,2.783333333,116.5833333,0.81,0.83,,0.95,0.89,0.83,0.82
FMNH,88591,T. t. utara,Mainland Borneo,1.867416667,113.0258056,1,0.87,,1.11,,0.96,0.97
USNM,19187,T. t. utara,Mainland Borneo,5.683333333,118.3833333,1.06,,,,,,
USNM,19224,T. t. utara,Mainland Borneo,5.5,117,,,,,,,
USNM,19225,T. t. utara,Mainland Borneo,5.5,117,,,,,,,
USNM,83938,T. t. utara,Mainland Borneo,4.6,113.9666667,0.82,0.81,6.09,0.92,0.92,0.96,0.83
USNM,311454,T. t. utara,Mainland Borneo,1.05,111.85,0.91,0.83,6.17,1.16,1.12,1.04,0.96
USNM,311455,T. t. utara,Mainland Borneo,2.016666667,112.9333333,0.76,0.89,5.61,0.94,0.98,1.09,0.93
USNM,311456,T. t. utara,Mainland Borneo,2.016666667,112.9333333,0.92,0.83,6.13,0.92,1,1.09,0.94
