Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,PPL,MB,LIB,ZB,BB,MCH,MCW,MCIL
AMNH,102853,T. t. tana,Mainland Sumatra,-5.668444444,105.5828333,,f,32.98,18.43,15.36,24.93,20.24,9.24,3.27,42.55
AMNH,102854,T. t. tana,Mainland Sumatra,-5.668444444,105.5828333,,m,31.26,17.64,14.41,23.87,19.47,8.21,2.82,40.96
BMNH,19.11513,T. t. tana,Mainland Sumatra,-2.166666667,101.4333333,,m,35.66,18.48,14.31,25.46,20.56,8.68,3.2,44.68
BMNH,19.11514,T. t. tana,Mainland Sumatra,-2.166666667,101.4333333,,m,34.5,18.26,15.07,26.18,20.25,8.82,3.45,43.9
BMNH,19.11515,T. t. tana,Mainland Sumatra,-2.166666667,101.4333333,,m,33.72,17.88,15.04,24.05,20.64,8.81,3.01,42.33
BMNH,19.11516,T. t. tana,Mainland Sumatra,-2.45,101.7166667,,f,35.24,,,,,8.76,3.17,44.68
BMNH,79.62814,T. t. tana,Mainland Sumatra,-9.05,118.7833333,,sex unknown,35.39,,15.18,26.52,,9.35,3.02,44.65
BMNH,81.3154,T. t. tana,Mainland Sumatra,-4.933333333,105.6833333,,m,,18.11,15.17,,20.26,,,
BMNH,79.722,T. t. tana,Mainland Sumatra,-3.751694444,102.3601944,,sex unknown,37.35,18.38,15.51,27.27,20.43,10.03,3.58,45.34
BMNH,77.341,T. t. tana,Mainland Sumatra,-3.751694444,102.3601944,,sex unknown,33.63,,14.45,24.93,19.51,9.53,3.3,41.9
BMNH,81.3153,T. t. tana,Mainland Sumatra,-4.933333333,105.6833333,,m,,17.8,14.44,24.74,19.78,8.55,3.11,42.32
BMNH,95.3214,T. t. tana,Mainland Sumatra,-3.751694444,102.3601944,type,,,,,,,8.9,3.23,42.84
