Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,MTL,PPL,LB,LIB,PBPL,LTPL,MCH,MCW
FMNH,80091,nitida,Mainland Borneo,1.535611111,110.3284167,,f,21.58,37.4,20.66,15.77,45.47,33.63,10.41,3.93
FMNH,80086,nitida,Mainland Borneo,1.527888889,110.3411111,,m,,36.34,20.63,14.71,45.67,33.29,10.03,3.58
FMNH,80090,nitida,Mainland Borneo,1.535611111,110.3284167,,m,,38.06,21.91,16.55,46.78,34.51,9.77,3.47
USNM,19187,utara,Mainland Borneo,5.683333333,118.3833333,,m,21.19,35.34,21.44,15.86,43.95,31.68,9.77,3.24
USNM,19202,utara,Mainland Borneo,5.65,118.1166667,,m,21.32,35.26,20.5,14.58,,31.28,,
USNM,19224,utara,Mainland Borneo,5.5,117,,sex unknown,20.41,33.56,,14.69,41.41,,,
USNM,83938,utara,Mainland Borneo,4.6,113.9666667,,f,20.91,36.17,20.92,15.43,,33,10.11,3.94
USNM,142247,besara,Mainland Borneo,-0.190444444,109.9185833,type,m,23.15,38.29,22.42,16.55,47.16,34.57,10.82,3.87
USNM,145574,tana,Mainland Borneo,-1.05,110.1,,f,20.11,34.48,19.85,14.58,43.32,31.31,9.61,3.21
USNM,151885,tana,Mainland Borneo,-3,116.2,,f,19.96,33.96,,15.05,42.47,31.19,9.8,3.58
USNM,154340,tana,Mainland Borneo,-1.25,116.7166667,,f,19.89,34.12,19.96,15.38,42.78,31.08,9.47,3.63
USNM,154341,tana,Mainland Borneo,-2.55,116.4166667,,m,19.46,33.41,20.36,15.73,41.51,30.12,9.22,3.45
USNM,176403,tana,Mainland Borneo,2.183333333,117.4666667,,m,19.54,,18.77,13.67,39.99,28.89,8.69,3.2
USNM,176405,tana,Mainland Borneo,2.183333333,117.4666667,,f,19.56,,19.04,14.07,,,9.1,3.06
USNM,176406,tana,Mainland Borneo,2.183333333,117.4666667,,m,20.62,33.76,20.15,14.92,42.58,30.3,9.85,3.73
USNM,176407,tana,Mainland Borneo,2.183333333,117.4666667,,f,19.98,34.06,19.31,13.96,42.3,30.24,9.37,3.32
USNM,176408,tana,Mainland Borneo,2.166666667,117.5,,m,20.97,34.65,20.56,15.78,43.65,31.8,9.21,3.26
USNM,176409,tana,Mainland Borneo,2.166666667,117.5,,f,20.42,,20.47,15.22,,,8.45,3.33
USNM,176410,tana,Mainland Borneo,2.166666667,117.5,,f,20.13,34.06,21.2,16.55,42.42,30.6,9.68,3.53
USNM,176411,tana,Mainland Borneo,1.6,118.2,,f,18.86,32.28,20.13,14.9,40.72,29.25,8.91,3.11
USNM,176412,tana,Mainland Borneo,-1.666666667,118.1666667,,m,19.53,33.54,20.53,14.5,41.74,30.51,9.51,3.66
USNM,197199,tana,Mainland Borneo,0.8,117.9166667,,m,19.6,,,,41.87,,,
USNM,197200,tana,Mainland Borneo,0.8,117.9166667,,f,20.53,34.33,20.59,16.19,42.86,31.08,9.66,3.4
USNM,197201,tana,Mainland Borneo,0.816666667,117.7,,f,,33.66,20.23,,41.66,30.08,,
USNM,198045,tana,Mainland Borneo,1.1,117.9,,m,20.15,32.94,19.84,14.69,41.54,29.98,8.96,3.21
USNM,198046,tana,Mainland Borneo,1.1,117.9,,m,19.49,33.04,19.14,14.26,41.06,29.58,9.63,3.25
USNM,198047,tana,Mainland Borneo,1.1,117.9,,m,20.31,34.75,20.65,14.51,43.24,31.84,9.98,3.44
USNM,198048,tana,Mainland Borneo,1.1,117.9,,m,20.29,33.13,,15.6,40.79,29.27,9.63,3.33
USNM,198049,tana,Mainland Borneo,1.183333333,117.9166667,,f,19.78,32.66,19.73,15.11,41.12,29.94,8.81,3.29
USNM,199158,tana,Mainland Borneo,0.5,117.15,,f,19.3,32.6,19.45,14.59,40.83,29.39,8.9,2.57
USNM,300911,paitana,Mainland Borneo,5.966666667,116.6833333,,f,21.28,34.95,20.84,15.06,43.03,31.12,9.29,3.99
USNM,311454,utara,Mainland Borneo,1.05,111.85,,f,,37.01,21.56,16.13,44.84,33.06,9.61,3.82
USNM,311455,utara,Mainland Borneo,2.016666667,112.9333333,,f,20.82,36.33,20.05,14.67,44.89,32.61,8.98,3.47
USNM,311456,utara,Mainland Borneo,2.016666667,112.9333333,,m,,35.29,21.74,15.57,43.78,31.91,9.98,3.96
USNM,317184,paitana,Mainland Borneo,5.966666667,116.6833333,,m,19.96,34.86,21.08,15.97,43.83,31.84,8.91,3.83
USNM,396660,paitana,Mainland Borneo,5.319944444,116.9516667,,m,21.62,37.04,21.11,15.05,45.4,33.27,9.23,3.97
USNM,396661,paitana,Mainland Borneo,5.319944444,116.9516667,,m,21.31,36.12,22.05,15.33,44.83,33.02,10.46,3.78
USNM,396663,paitana,Mainland Borneo,5.319944444,116.9516667,,m,21.88,37.72,20.99,16.49,46.9,34.41,10.33,4.15
USNM,396671,paitana,Mainland Borneo,5.319944444,116.9516667,,f,21.48,35.96,19.96,14.31,44.17,32.19,9.51,3.57
USNM,449965,paitana,Mainland Borneo,6.083333333,116.7166667,,f,20.04,34.42,21.03,15.49,42.67,30.91,9.33,3.64
USNM,449966,paitana,Mainland Borneo,6.083333333,116.7166667,,f,19.51,32.59,20.3,14.77,40.75,28.83,10.04,4.16
USNM,449968,paitana,Mainland Borneo,6.083333333,116.7166667,,f,20.31,34.27,21,15.81,42.66,30.65,10.31,4
USNM,449969,paitana,Mainland Borneo,6.083333333,116.7166667,,m,20.72,34.44,21.46,15.8,43.3,31.23,9.55,4.02
USNM,488024,paitana,Mainland Borneo,6,116.6833333,,m,21.26,35.25,21.15,15.76,43.37,31.4,10.84,3.68
USNM,488025,paitana,Mainland Borneo,6,116.6833333,,f,19.77,33.01,19.41,14.01,41.16,29.43,9.11,3.55
USNM,488026,paitana,Mainland Borneo,6,116.6833333,,f,20.72,36.91,21.91,16.24,45.2,33.41,10.17,3.62
USNM,488027,paitana,Mainland Borneo,6,116.6833333,,f,21.3,34.82,19.59,15.34,43.15,31.4,9,3.51
USNM,488028,paitana,Mainland Borneo,6,116.6833333,,m,20.07,35.52,20.54,15.31,44.12,31.7,9.89,3.98
USNM,488029,paitana,Mainland Borneo,6.016666667,116.8666667,,m,20.61,34.85,19.85,14.79,43.04,31.34,9.08,3.35
USNM,488030,paitana,Mainland Borneo,6,116.6833333,,m,22.1,36.85,19.85,14.6,45,33.2,9.89,3.52
USNM,488031,paitana,Mainland Borneo,6.016666667,116.8666667,,m,20.1,34.96,21.08,16.56,44.03,32.07,10.45,3.86
USNM,488032,paitana,Mainland Borneo,6.033333333,116.7166667,,m,20.25,33.37,20.93,16.18,42.31,31.02,9.07,3.62
USNM,488033,paitana,Mainland Borneo,6.016666667,116.8666667,,m,21.34,36.26,20.32,15.98,44.82,32.53,10.56,3.97
